elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,7.2,94.6,1
2.0,9.1,94.6,1
3.0,15.6,94.7,1
4.0,9.2,94.6,1
5.01,10.0,94.7,1
6.01,18.8,94.7,1
7.01,16.0,94.6,1
8.01,11.0,94.6,1
9.01,9.6,94.6,1
10.01,9.5,94.6,1
11.01,8.2,94.6,1
12.01,9.2,94.6,1
13.01,13.5,95.0,1
14.02,13.3,95.1,1
15.02,10.2,95.1,1
16.02,13.8,95.0,1
17.02,9.6,95.0,1
18.02,9.8,95.0,1
19.03,7.6,94.9,1
20.03,9.4,94.9,1
21.03,8.8,94.9,1
22.03,10.8,95.0,1
23.03,6.0,95.0,1
24.03,13.7,95.1,1
25.04,7.9,95.0,1
26.04,6.0,94.9,1
27.04,9.2,94.9,1
28.04,9.2,94.8,1
29.04,11.4,94.8,1
30.04,9.3,94.8,1
31.04,8.9,94.8,1
32.05,7.8,94.5,1
33.05,9.3,94.5,1
34.05,9.4,94.5,1
35.05,10.4,94.4,1
36.05,9.7,94.5,1
37.05,6.4,94.5,1
38.06,6.2,94.4,1
39.06,11.0,94.4,1
40.06,13.1,94.4,1
41.06,6.6,94.4,1
42.06,11.4,94.5,1
43.06,11.0,94.5,1
44.06,21.5,94.7,1
45.06,17.9,94.6,1
46.06,10.6,94.7,1
47.06,10.3,94.6,1
48.07,11.8,94.7,1
49.07,15.0,94.7,1
50.07,10.0,94.4,1
51.07,7.5,94.4,1
52.07,12.0,94.5,1
53.07,12.6,94.3,1
54.07,6.8,94.3,1
55.07,6.1,94.3,1
56.07,9.7,94.2,1
57.07,7.7,94.3,1
58.08,7.5,94.2,1
59.08,15.2,94.6,1
60.08,12.7,94.6,1
61.08,15.8,94.6,1
62.08,18.0,94.5,1
63.08,15.9,94.7,1
64.08,18.9,94.7,1
65.08,14.7,94.6,1
66.09,13.2,94.6,1
67.09,17.5,94.6,1
68.09,12.9,94.6,1
69.09,13.8,94.6,1
70.09,7.3,94.6,1
71.09,9.4,94.5,1
72.09,14.8,94.3,1
73.1,28.6,94.4,1
74.1,8.4,94.3,1
75.1,6.9,94.3,1
76.1,18.2,94.4,1
77.1,27.2,94.5,1
78.1,12.9,94.6,1
79.11,10.6,94.5,1
80.11,10.4,94.3,1
81.11,8.8,94.1,1
82.11,6.9,94.1,1
83.11,11.1,94.3,1
84.11,5.8,94.2,1
85.12,12.1,94.2,1
86.12,6.3,94.2,1
87.12,10.7,94.2,1
88.12,8.8,94.1,1
89.12,7.6,94.1,1
90.12,7.5,94.1,1
91.12,17.1,94.3,1
92.12,15.9,94.3,1
93.13,11.5,94.2,1
94.13,7.7,94.3,1
95.13,7.0,94.3,1
96.13,11.3,94.3,1
97.13,9.5,94.0,1
98.13,10.2,94.0,1
99.13,11.6,93.9,1
100.14,11.9,93.9,1
101.14,6.0,93.8,1
102.14,18.3,94.0,1
103.14,16.3,94.1,1
104.14,21.2,94.3,1
105.14,19.2,94.1,1
106.14,15.4,94.1,1
107.15,9.2,94.1,1
108.15,13.3,94.2,1
109.15,11.9,94.2,1
110.15,6.0,94.2,1
111.15,7.7,94.2,1
112.15,12.1,94.0,1
113.15,10.2,94.1,1
114.15,9.0,94.1,1
115.15,17.5,94.5,1
